Date,Title,Quantity Sold,Total Revenue
2023-07-04,Tides of Destiny,3,475.65
2023-09-10,The Celestial Key,1,838.23
2024-05-08,Edge of Tomorrow,13,3516.76
2024-08-05,Winds of Winter,9,6296.49
2023-09-02,Crimson Sky,3,1917.69
2024-08-13,The Final Oath,6,6839.76
2024-08-22,Silent Guardian,13,8803.47
2023-05-16,Last Ember,18,16131.42
2024-05-09,Beyond the Veil,10,10375.5
2023-06-07,Kingdom of Ash,7,7466.06
2023-10-10,Winds of Winter,2,1399.22
2024-03-28,Edge of Tomorrow,8,2164.16
2023-07-01,The Forgotten Tale,10,5168.8
2024-04-22,Infinite Realms,15,12044.7
2023-11-26,City of Echoes,15,7280.85
2023-07-09,The Lost Horizon,4,2051.2
2024-01-16,Crimson Sky,2,1278.46
2023-01-23,Whispers of Time,15,4363.35
2024-03-05,Rise of Legends,13,2659.15
2023-01-01,Crimson Sky,11,7031.53
2024-01-19,City of Echoes,3,1456.17
2023-10-27,Arcane Secrets,17,19387.14
2023-04-12,Beyond the Veil,19,19713.45
2023-12-12,Beneath the Stars,1,471.79
2023-08-12,Echoes of Eternity,20,4401.0
2023-10-11,Infinite Realms,13,10438.74
2023-12-29,The Final Oath,22,25079.12
2023-05-08,The Sapphire Flame,21,13531.14
2023-04-04,Rise of Legends,18,3681.9
2024-04-25,Shadows of Fate,16,14092.8
2023-03-14,Tides of Destiny,3,475.65
2023-07-26,Crimson Sky,20,12784.6
2023-05-28,Infinite Realms,7,5620.86
2024-04-12,Golden Empire,6,6258.18
2023-06-08,Silent Guardian,12,8126.28
2023-02-03,Fragments of Light,9,5944.5
2023-02-15,The Sapphire Flame,1,644.34
2024-09-11,Nightfall,13,8548.54
2023-06-29,Edge of Tomorrow,10,2705.2
2024-05-17,The Celestial Key,2,1676.46
2023-04-22,Winds of Winter,9,6296.49
2023-09-27,Shadows of Fate,24,21139.2
2023-04-30,The Celestial Key,11,9220.53
2024-03-01,Golden Empire,6,6258.18
2023-05-07,Tides of Destiny,5,792.75
2023-02-17,The Forgotten Tale,12,6202.56
2024-09-16,The Sapphire Flame,12,7732.08
2023-09-23,Shadows of Fate,1,880.8
2023-08-09,The Silent Sea,3,1881.66
2024-06-24,Infinite Realms,3,2408.94
2023-03-29,Stormbreaker,11,7569.32
2024-09-09,The Lost Horizon,12,6153.6
2023-03-31,Fragments of Light,11,7265.5
2024-02-14,Tides of Destiny,15,2378.25
2023-04-04,Infinite Realms,18,14453.64
2024-08-06,The Sapphire Flame,17,10953.78
2024-07-07,The Forgotten Tale,14,7236.32
2024-03-11,Tides of Destiny,6,951.3
2023-12-23,The Lost Horizon,12,6153.6
2023-08-01,Fragments of Light,13,8586.5
2023-12-16,The Final Oath,1,1139.96
2024-06-25,Silent Guardian,5,3385.95
2023-11-08,Dreamcatcher,9,1814.58
2024-07-03,The Forgotten Tale,24,12405.12
2024-06-13,Arcane Secrets,13,14825.46
2024-02-11,Beneath the Stars,19,8964.01
2024-01-12,City of Echoes,20,9707.8
2023-07-04,The Hidden Path,11,8652.05
2023-04-07,Echoes of Eternity,18,3960.9
2024-09-17,Fragments of Light,13,8586.5
2023-08-23,Echoes of Eternity,13,2860.65
2024-09-18,Edge of Tomorrow,10,2705.2
2023-05-17,The Celestial Key,18,15088.14
2023-11-18,Shadows of Fate,24,21139.2
2023-02-21,Fragments of Light,22,14531.0
2023-09-19,Beyond the Veil,6,6225.3
2023-12-02,The Forgotten Tale,24,12405.12
2023-07-22,Rise of Legends,4,818.2
2024-02-05,The Lost Horizon,13,6666.4
2023-08-06,Crimson Sky,2,1278.46
2023-03-12,The Sapphire Flame,6,3866.04
2023-08-26,Fragments of Light,14,9247.0
2024-05-14,Beneath the Stars,12,5661.48
2023-10-19,Stormbreaker,10,6881.2
2024-08-04,Tides of Destiny,13,2061.15
2023-08-31,Silent Guardian,19,12866.61
2023-05-05,The Time Weaver,13,10435.75
2023-05-26,Echoes of Eternity,18,3960.9
2023-06-13,The Celestial Key,7,5867.61
2024-04-23,Winds of Winter,20,13992.2
2024-08-30,The Hidden Path,11,8652.05
2023-10-02,Rise of Legends,22,4500.1
2023-12-17,Golden Empire,10,10430.3
2024-08-06,Silent Guardian,6,4063.14
2023-07-08,Beneath the Stars,10,4717.9
2024-01-20,Beneath the Stars,3,1415.37
2023-01-07,The Celestial Key,21,17602.83
2023-04-25,Tides of Destiny,13,2061.15
2024-07-20,Dreamcatcher,9,1814.58
2023-02-21,The Time Weaver,19,15252.25
2024-08-07,Beneath the Stars,22,10379.38
2023-04-13,The Sapphire Flame,11,7087.74
2024-02-06,The Hidden Path,1,786.55
2024-05-30,Crimson Sky,8,5113.84
2024-06-11,The Hidden Path,24,18877.2
2023-05-24,Tides of Destiny,1,158.55
2023-04-14,The Sapphire Flame,12,7732.08
2024-02-14,The Sapphire Flame,15,9665.1
2024-03-06,Stormbreaker,22,15138.64
2023-09-21,The Sapphire Flame,8,5154.72
2024-09-23,Nightfall,23,15124.34
2024-04-16,The Final Oath,5,5699.8
2023-10-21,The Time Weaver,8,6422.0
2023-01-22,Beneath the Stars,1,471.79
2023-03-09,Golden Empire,6,6258.18
2023-03-01,The Time Weaver,17,13646.75
2024-07-03,Golden Empire,19,19817.57
2024-07-29,Echoes of Eternity,11,2420.55
2024-09-15,Shadows of Fate,13,11450.4
2023-11-11,Kingdom of Ash,2,2133.16
2023-05-18,Infinite Realms,3,2408.94
2024-02-25,Beyond the Veil,9,9337.95
2023-01-09,Golden Empire,2,2086.06
2023-12-03,The Celestial Key,22,18441.06
2023-07-02,Arcane Secrets,4,4561.68
2023-03-21,Stormbreaker,7,4816.84
2024-08-19,The Sapphire Flame,20,12886.8
2024-05-25,Winds of Winter,21,14691.81
2023-06-02,Golden Empire,18,18774.54
2023-12-20,Shadows of Fate,19,16735.2
2023-03-18,City of Echoes,13,6310.07
2024-01-05,Shadows of Fate,14,12331.2
2023-08-24,Nightfall,16,10521.28
2024-05-10,Beyond the Veil,23,23863.65
2023-03-17,The Lost Horizon,13,6666.4
2023-02-06,Echoes of Eternity,13,2860.65
2024-08-21,The Hidden Path,20,15731.0
2024-01-18,Rise of Legends,19,3886.45
2024-07-30,Crimson Sky,20,12784.6
2024-07-29,Shadows of Fate,8,7046.4
2023-03-25,Shadows of Fate,24,21139.2
2023-04-07,The Sapphire Flame,15,9665.1
2023-02-03,Beyond the Veil,7,7262.85
2023-04-24,The Lost Horizon,23,11794.4
2023-03-05,The Sapphire Flame,8,5154.72
2024-03-13,Nightfall,2,1315.16
2023-07-05,Crimson Sky,14,8949.22
2023-04-16,The Sapphire Flame,3,1933.02
2023-08-05,Heart of Steel,10,9207.6
2024-08-02,The Silent Sea,1,627.22
2023-01-03,The Sapphire Flame,4,2577.36
2023-06-15,Dreamcatcher,11,2217.82
2023-02-20,Stormbreaker,17,11698.04
2024-09-26,Rise of Legends,24,4909.2
2023-07-05,Last Ember,22,19716.18
2023-06-15,Winds of Winter,1,699.61
2024-03-24,Crimson Sky,14,8949.22
2023-09-25,Nightfall,1,657.58
2023-12-01,Nightfall,14,9206.12
2024-07-31,The Sapphire Flame,7,4510.38
2023-10-02,Infinite Realms,4,3211.92
2023-11-17,Infinite Realms,12,9635.76
2023-06-05,The Celestial Key,10,8382.3
2023-09-07,Edge of Tomorrow,14,3787.28
2023-02-12,The Final Oath,16,18239.36
2023-05-06,Kingdom of Ash,1,1066.58
2024-07-19,Crimson Sky,3,1917.69
2024-03-09,Dreamcatcher,23,4637.26
2023-10-15,Crimson Sky,23,14702.29
2023-03-26,The Silent Sea,14,8781.08
2023-11-14,Beneath the Stars,24,11322.96
2024-07-27,The Silent Sea,9,5644.98
2023-04-28,Heart of Steel,6,5524.56
2024-05-21,Fragments of Light,14,9247.0
2023-03-12,Tides of Destiny,17,2695.35
2024-01-29,Beyond the Veil,19,19713.45
2024-01-15,The Celestial Key,24,20117.52
2024-07-13,Last Ember,22,19716.18
2023-07-08,Arcane Secrets,17,19387.14
2023-04-10,Stormbreaker,11,7569.32
2024-02-22,Heart of Steel,8,7366.08
2024-10-08,Dreamcatcher,19,3830.78
2024-09-27,Winds of Winter,5,3498.05
2024-08-24,The Sapphire Flame,10,6443.4
2023-01-21,Whispers of Time,6,1745.34
2024-03-25,Silent Guardian,8,5417.52
2024-09-11,Golden Empire,11,11473.33
2024-02-27,The Forgotten Tale,21,10854.48
2024-09-30,Silent Guardian,13,8803.47
2023-01-29,Whispers of Time,11,3199.79
2024-03-27,Last Ember,15,13442.85
2023-02-18,The Final Oath,23,26219.08
2023-04-30,Crimson Sky,11,7031.53
2024-02-13,Nightfall,5,3287.9
2023-12-30,Whispers of Time,10,2908.9
2024-01-09,Beneath the Stars,19,8964.01
2023-11-06,Tides of Destiny,1,158.55
2024-08-14,The Time Weaver,4,3211.0
2024-05-26,The Silent Sea,3,1881.66
2024-09-09,Winds of Winter,12,8395.32
2023-11-13,Fragments of Light,4,2642.0
2024-02-02,Rise of Legends,8,1636.4
2023-03-15,City of Echoes,23,11163.97
2024-02-09,The Time Weaver,17,13646.75
2024-06-15,The Lost Horizon,10,5128.0
2024-04-02,Echoes of Eternity,21,4621.05
2023-02-14,The Hidden Path,14,11011.7
2023-01-26,Infinite Realms,19,15256.62
2023-05-25,Shadows of Fate,14,12331.2
2023-08-09,The Sapphire Flame,9,5799.06
2024-01-02,Winds of Winter,8,5596.88
2024-05-27,Shadows of Fate,5,4404.0
2023-03-21,The Lost Horizon,24,12307.2
2024-05-14,Dreamcatcher,12,2419.44
2024-08-10,Infinite Realms,14,11241.72
2023-02-09,Echoes of Eternity,18,3960.9
2023-11-18,Edge of Tomorrow,8,2164.16
2023-05-01,Golden Empire,17,17731.51
2024-07-15,The Silent Sea,16,10035.52
2023-09-19,The Sapphire Flame,4,2577.36
2023-09-06,Kingdom of Ash,10,10665.8
2023-04-28,Kingdom of Ash,14,14932.12
2024-03-13,Infinite Realms,7,5620.86
2023-01-07,Beneath the Stars,20,9435.8
2023-03-09,Infinite Realms,19,15256.62
2024-09-30,The Silent Sea,16,10035.52
2023-04-20,Whispers of Time,22,6399.58
2024-03-02,Tides of Destiny,19,3012.45
2023-01-28,Edge of Tomorrow,14,3787.28
2023-01-11,Edge of Tomorrow,19,5139.88
2023-01-10,Dreamcatcher,5,1008.1
2023-12-19,Dreamcatcher,12,2419.44
2023-06-11,Crimson Sky,24,15341.52
2024-05-01,Fragments of Light,23,15191.5
2023-12-04,Tides of Destiny,24,3805.2
2023-02-13,Tides of Destiny,5,792.75
2024-06-25,Winds of Winter,11,7695.71
2023-05-24,Arcane Secrets,12,13685.04
2023-09-13,Nightfall,9,5918.22
2024-07-11,Heart of Steel,14,12890.64
2023-08-29,Crimson Sky,21,13423.83
2024-02-27,Tides of Destiny,18,2853.9
2023-09-21,The Hidden Path,14,11011.7
2024-04-26,The Time Weaver,20,16055.0
2024-01-30,Golden Empire,1,1043.03
2023-12-09,Golden Empire,5,5215.15
2024-06-26,The Celestial Key,19,15926.37
2023-11-04,Fragments of Light,24,15852.0
2023-07-26,The Celestial Key,11,9220.53
2024-02-21,Fragments of Light,8,5284.0
2023-01-15,Shadows of Fate,14,12331.2
2024-10-10,Silent Guardian,9,6094.71
2023-09-26,Shadows of Fate,17,14973.6
2023-07-17,Silent Guardian,10,6771.9
2024-02-28,Heart of Steel,2,1841.52
2023-01-27,Silent Guardian,1,677.19
2024-08-15,The Hidden Path,8,6292.4
2024-02-21,The Celestial Key,24,20117.52
2024-09-09,Heart of Steel,2,1841.52
2023-06-13,Last Ember,7,6273.33
2023-05-09,Beneath the Stars,9,4246.11
2023-02-23,Beneath the Stars,12,5661.48
2024-06-17,Infinite Realms,7,5620.86
2024-04-18,Stormbreaker,16,11009.92
2023-03-13,The Celestial Key,9,7544.07
2024-02-08,Dreamcatcher,18,3629.16
2023-12-31,Arcane Secrets,16,18246.72
2024-08-15,Kingdom of Ash,8,8532.64
2024-03-14,The Time Weaver,13,10435.75
2023-07-12,Golden Empire,7,7301.21
2024-05-21,The Hidden Path,1,786.55
2024-08-15,Arcane Secrets,16,18246.72
2024-09-26,Heart of Steel,15,13811.4
2023-07-10,City of Echoes,6,2912.34
2023-03-09,The Forgotten Tale,19,9820.72
2023-03-16,Silent Guardian,19,12866.61
2023-01-22,Stormbreaker,17,11698.04
2024-02-11,Whispers of Time,7,2036.23
2024-03-06,The Silent Sea,3,1881.66
2023-06-14,The Sapphire Flame,11,7087.74
2023-10-09,The Hidden Path,18,14157.9
2024-09-30,Beyond the Veil,9,9337.95
2024-03-20,The Hidden Path,22,17304.1
2024-08-29,Stormbreaker,15,10321.8
2024-05-29,The Lost Horizon,7,3589.6
2023-10-21,Kingdom of Ash,23,24531.34
2023-08-19,Golden Empire,19,19817.57
2023-09-14,Beneath the Stars,11,5189.69
2023-07-24,Rise of Legends,5,1022.75
2024-03-22,Shadows of Fate,19,16735.2
2024-10-09,Tides of Destiny,2,317.1
2023-10-29,Stormbreaker,8,5504.96
2023-03-24,Golden Empire,18,18774.54
2023-07-09,The Sapphire Flame,16,10309.44
2023-01-18,Rise of Legends,18,3681.9
2023-01-16,The Lost Horizon,5,2564.0
2023-07-07,Winds of Winter,22,15391.42
2023-12-03,Dreamcatcher,20,4032.4
2023-03-03,Golden Empire,21,21903.63
2023-04-20,The Silent Sea,6,3763.32
2023-11-04,The Silent Sea,5,3136.1
2023-12-28,Nightfall,8,5260.64
2023-07-04,The Time Weaver,13,10435.75
2023-04-04,Kingdom of Ash,9,9599.22
2023-11-24,Tides of Destiny,8,1268.4
2024-04-13,Beneath the Stars,12,5661.48
2024-09-23,The Hidden Path,9,7078.95
2024-01-02,Tides of Destiny,7,1109.85
2024-08-11,Crimson Sky,18,11506.14
2023-01-01,Crimson Sky,9,5753.07
2023-02-14,Winds of Winter,8,5596.88
2024-08-05,Heart of Steel,14,12890.64
2023-01-02,Silent Guardian,18,12189.42
2024-06-19,City of Echoes,9,4368.51
2024-04-01,The Sapphire Flame,3,1933.02
2023-10-31,The Hidden Path,2,1573.1
2023-11-04,Shadows of Fate,18,15854.4
2023-06-24,The Silent Sea,2,1254.44
2024-03-28,Nightfall,19,12494.02
2023-02-12,Rise of Legends,9,1840.95
2023-08-15,Last Ember,22,19716.18
2024-01-26,Fragments of Light,19,12549.5
2023-09-19,Heart of Steel,3,2762.28
2024-03-26,City of Echoes,11,5339.29
2023-05-27,The Hidden Path,22,17304.1
2023-07-08,The Celestial Key,8,6705.84
2024-08-28,The Celestial Key,10,8382.3
2024-07-21,Arcane Secrets,5,5702.1
2023-10-18,Arcane Secrets,9,10263.78
2023-01-26,The Lost Horizon,3,1538.4
2023-02-26,Kingdom of Ash,18,19198.44
2023-11-19,Rise of Legends,9,1840.95
2024-08-30,The Hidden Path,3,2359.65
2024-06-18,Dreamcatcher,23,4637.26
2023-08-01,Shadows of Fate,1,880.8
2024-07-10,Crimson Sky,4,2556.92
2023-10-11,The Silent Sea,11,6899.42
2023-08-16,Fragments of Light,16,10568.0
2024-03-06,The Sapphire Flame,4,2577.36
2024-05-25,Silent Guardian,4,2708.76
2024-03-12,Edge of Tomorrow,20,5410.4
2024-06-10,Golden Empire,5,5215.15
2024-08-13,The Lost Horizon,6,3076.8
2023-08-27,Silent Guardian,2,1354.38
2024-06-20,Golden Empire,13,13559.39
2024-02-26,Whispers of Time,18,5236.02
2024-01-14,Nightfall,8,5260.64
2024-09-16,The Lost Horizon,21,10768.8
2023-11-17,Winds of Winter,15,10494.15
2024-07-22,Shadows of Fate,9,7927.2
2024-05-21,Nightfall,18,11836.44
2024-05-17,City of Echoes,21,10193.19
2023-12-23,The Silent Sea,24,15053.28
2024-07-04,Golden Empire,5,5215.15
2023-07-04,Kingdom of Ash,19,20265.02
2024-04-06,Last Ember,22,19716.18
2023-05-05,Winds of Winter,1,699.61
2023-07-08,Arcane Secrets,14,15965.88
2023-02-18,The Time Weaver,7,5619.25
2024-09-23,Last Ember,14,12546.66
2024-08-04,Edge of Tomorrow,15,4057.8
2024-05-01,Kingdom of Ash,14,14932.12
2023-03-13,Beneath the Stars,22,10379.38
2023-03-31,The Lost Horizon,19,9743.2
2023-03-03,Whispers of Time,20,5817.8
2023-03-29,The Sapphire Flame,17,10953.78
2024-05-26,Whispers of Time,14,4072.46
2024-06-30,The Celestial Key,9,7544.07
2023-02-21,Crimson Sky,10,6392.3
2023-10-01,Tides of Destiny,14,2219.7
2024-01-23,The Lost Horizon,24,12307.2
2023-03-11,Infinite Realms,24,19271.52
2023-04-28,City of Echoes,17,8251.63
2023-06-14,The Silent Sea,10,6272.2
2023-11-11,Silent Guardian,15,10157.85
2023-07-12,Nightfall,6,3945.48
